MATH_TERM_precision,MATH_TERM_recall,MATH_TERM_f1-score,MATH_TERM_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,trainset_size,model,trainset_num
0.6460866853757405,0.763448784082535,0.6998817767269042,2714,0.6460866853757405,0.763448784082535,0.6998817767269042,2714,0.6460866853757405,0.763448784082535,0.6998817767269042,2714,0.6460866853757405,0.763448784082535,0.6998817767269042,2714,10240,InriaValda/cc_math_roberta_ep10,7
0.6878958479943702,0.7203389830508474,0.7037437005039596,2714,0.6878958479943702,0.7203389830508474,0.7037437005039596,2714,0.6878958479943702,0.7203389830508474,0.7037437005039596,2714,0.6878958479943702,0.7203389830508474,0.7037437005039596,2714,10240,InriaValda/cc_math_roberta_ep10,8
0.70581935023206,0.7284450994841563,0.7169537624660018,2714,0.70581935023206,0.7284450994841563,0.7169537624660018,2714,0.70581935023206,0.7284450994841563,0.7169537624660018,2714,0.70581935023206,0.7284450994841563,0.7169537624660018,2714,10240,InriaValda/cc_math_roberta_ep10,9
0.6585522101217168,0.7575534266764923,0.704592186429061,2714,0.6585522101217168,0.7575534266764923,0.704592186429061,2714,0.6585522101217168,0.7575534266764923,0.704592186429061,2714,0.6585522101217168,0.7575534266764923,0.704592186429061,2714,10240,InriaValda/cc_math_roberta_ep10,10
0.688858695652174,0.7472365512159175,0.7168610816542949,2714,0.688858695652174,0.7472365512159175,0.7168610816542949,2714,0.688858695652174,0.7472365512159175,0.7168610816542949,2714,0.688858695652174,0.7472365512159175,0.7168610816542949,2714,10240,InriaValda/cc_math_roberta_ep10,1
0.6699390656736628,0.7291820191599115,0.6983062808750882,2714,0.6699390656736628,0.7291820191599115,0.6983062808750882,2714,0.6699390656736628,0.7291820191599115,0.6983062808750882,2714,0.6699390656736628,0.7291820191599115,0.6983062808750882,2714,10240,InriaValda/cc_math_roberta_ep10,2
0.6926829268292682,0.7324981577008106,0.7120343839541547,2714,0.6926829268292682,0.7324981577008106,0.7120343839541547,2714,0.6926829268292682,0.7324981577008106,0.7120343839541547,2714,0.6926829268292682,0.7324981577008106,0.7120343839541547,2714,10240,InriaValda/cc_math_roberta_ep10,3
0.6603957184560493,0.7501842299189388,0.70243229256512,2714,0.6603957184560493,0.7501842299189388,0.70243229256512,2714,0.6603957184560493,0.7501842299189388,0.70243229256512,2714,0.6603957184560493,0.7501842299189388,0.70243229256512,2714,10240,InriaValda/cc_math_roberta_ep10,4
0.6736842105263158,0.7546057479734709,0.7118526242613834,2714,0.6736842105263158,0.7546057479734709,0.7118526242613834,2714,0.6736842105263158,0.7546057479734709,0.7118526242613834,2714,0.6736842105263158,0.7546057479734709,0.7118526242613834,2714,10240,InriaValda/cc_math_roberta_ep10,5
0.6466141732283465,0.7564480471628593,0.6972321276957039,2714,0.6466141732283465,0.7564480471628593,0.6972321276957039,2714,0.6466141732283465,0.7564480471628593,0.6972321276957039,2714,0.6466141732283465,0.7564480471628593,0.6972321276957039,2714,10240,InriaValda/cc_math_roberta_ep10,6
0.0,0.0,0.0,2714,0.0,0.0,0.0,2714,0.0,0.0,0.0,2714,0.0,0.0,0.0,2714,2048,InriaValda/cc_math_roberta_ep10,1
0.411214953271028,0.3728813559322034,0.39111111111111113,2714,0.411214953271028,0.3728813559322034,0.39111111111111113,2714,0.411214953271028,0.3728813559322034,0.39111111111111113,2714,0.411214953271028,0.3728813559322034,0.3911111111111111,2714,2048,InriaValda/cc_math_roberta_ep10,2
0.656654151022111,0.5799557848194546,0.6159264331833301,2714,0.656654151022111,0.5799557848194546,0.6159264331833301,2714,0.656654151022111,0.5799557848194546,0.6159264331833301,2714,0.656654151022111,0.5799557848194546,0.6159264331833301,2714,2048,InriaValda/cc_math_roberta_ep10,3
