,MATH_TERM_precision,MATH_TERM_recall,MATH_TERM_f1-score,MATH_TERM_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,trainset_size,model
0,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,64,InriaValda/cc_math_roberta_ep01
1,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,128,InriaValda/cc_math_roberta_ep01
2,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,256,InriaValda/cc_math_roberta_ep01
0,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,0.0,0.0,0.0,2729,512,InriaValda/cc_math_roberta_ep10
3,0.300462249614792,0.5001832172957127,0.37541254125412543,2729,0.300462249614792,0.5001832172957127,0.37541254125412543,2729,0.300462249614792,0.5001832172957127,0.37541254125412543,2729,0.300462249614792,0.5001832172957127,0.37541254125412543,2729,1024,InriaValda/cc_math_roberta_ep01
4,0.49303820064262766,0.5060461707585197,0.49945750452079574,2729,0.49303820064262766,0.5060461707585197,0.49945750452079574,2729,0.49303820064262766,0.5060461707585197,0.49945750452079574,2729,0.4930382006426276,0.5060461707585197,0.49945750452079574,2729,2048,InriaValda/cc_math_roberta_ep01
5,0.5993118548639349,0.702088677171125,0.6466419169760378,2729,0.5993118548639349,0.702088677171125,0.6466419169760378,2729,0.5993118548639349,0.702088677171125,0.6466419169760378,2729,0.5993118548639349,0.702088677171125,0.6466419169760378,2729,4096,InriaValda/cc_math_roberta_ep01
6,0.7066023738872403,0.6980578966654453,0.7023041474654378,2729,0.7066023738872403,0.6980578966654453,0.7023041474654378,2729,0.7066023738872403,0.6980578966654453,0.7023041474654378,2729,0.7066023738872403,0.6980578966654453,0.7023041474654378,2729,8192,InriaValda/cc_math_roberta_ep01
7,0.7009955372468246,0.7482594356907292,0.7238567883729173,2729,0.7009955372468246,0.7482594356907292,0.7238567883729173,2729,0.7009955372468246,0.7482594356907292,0.7238567883729173,2729,0.7009955372468246,0.7482594356907292,0.7238567883729173,2729,11401,InriaValda/cc_math_roberta_ep01
