,MATH_TERM_precision,MATH_TERM_recall,MATH_TERM_f1-score,MATH_TERM_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,trainset_size,model
0,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,64,roberta-base
1,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,128,roberta-base
2,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,0.0,0.0,0.0,3608,256,roberta-base
0,0.44502857142857144,0.5396341463414634,0.4877865464111237,3608,0.44502857142857144,0.5396341463414634,0.4877865464111237,3608,0.44502857142857144,0.5396341463414634,0.4877865464111237,3608,0.44502857142857144,0.5396341463414634,0.4877865464111237,3608,512,roberta-base
3,0.42332613390928725,0.5432372505543237,0.47584365137169216,3608,0.42332613390928725,0.5432372505543237,0.47584365137169216,3608,0.42332613390928725,0.5432372505543237,0.47584365137169216,3608,0.42332613390928725,0.5432372505543237,0.47584365137169216,3608,1024,roberta-base
4,0.6666666666666666,0.7217294900221729,0.6931062017567208,3608,0.6666666666666666,0.7217294900221729,0.6931062017567208,3608,0.6666666666666666,0.7217294900221729,0.6931062017567208,3608,0.6666666666666666,0.7217294900221729,0.6931062017567208,3608,2048,roberta-base
5,0.698967434471803,0.7317073170731707,0.7149627623561273,3608,0.698967434471803,0.7317073170731707,0.7149627623561273,3608,0.698967434471803,0.7317073170731707,0.7149627623561273,3608,0.6989674344718029,0.7317073170731707,0.7149627623561273,3608,4096,roberta-base
6,0.6947630922693266,0.7721729490022173,0.7314255710160147,3608,0.6947630922693266,0.7721729490022173,0.7314255710160147,3608,0.6947630922693266,0.7721729490022173,0.7314255710160147,3608,0.6947630922693266,0.7721729490022173,0.7314255710160147,3608,8192,roberta-base
7,0.7669931730483823,0.7161862527716186,0.7407195069514118,3608,0.7669931730483823,0.7161862527716186,0.7407195069514118,3608,0.7669931730483823,0.7161862527716186,0.7407195069514118,3608,0.7669931730483823,0.7161862527716186,0.7407195069514118,3608,11401,roberta-base
