id_without_addr_or_v,dir
0704.0004,0704
0704.1943,0704
0704.2046,0704
0704.2411,0704
0704.2481,0704
0704.2518,0704
0704.2845,0704
0704.1888,0704
0704.2868,0704
0704.3283,0704
0704.3314,0704
0704.3381,0704
0704.3424,0704
0704.3683,0704
0704.3696,0704
0704.3067,0704
0704.0065,0704
0704.1782,0704
0704.1489,0704
0704.0199,0704
0704.0295,0704
0704.0349,0704
0704.0469,0704
0704.0514,0704
0704.0600,0704
0704.1548,0704
0704.0817,0704
0704.1034,0704
0704.1036,0704
0704.1100,0704
0704.1101,0704
0704.1310,0704
0704.1313,0704
0704.0895,0704
0704.3843,0704
0704.0002,0704
0704.0010,0704
0704.2264,0704
0704.0049,0704
0704.2650,0704
0704.2688,0704
0704.2708,0704
0704.2713,0704
0704.2203,0704
0704.2813,0704
0704.3058,0704
0704.3398,0704
0704.3469,0704
0704.3509,0704
0704.3565,0704
0704.3650,0704
0704.2924,0704
0704.2048,0704
0704.2450,0704
0704.1730,0704
0704.3821,0704
0704.3731,0704
0704.0211,0704
0704.1969,0704
0704.0459,0704
0704.0640,0704
0704.0644,0704
0704.0277,0704
0704.0836,0704
0704.0851,0704
0704.0994,0704
0704.1293,0704
0704.1431,0704
0704.1493,0704
0704.0685,0704
0705.0193,0705
0705.0194,0705
0705.0315,0705
0705.0325,0705
0705.0451,0705
0705.0504,0705
0705.0518,0705
0705.0038,0705
0705.0946,0705
0705.2915,0705
0705.2932,0705
0705.3000,0705
0705.3215,0705
0705.3458,0705
0705.3599,0705
0705.3767,0705
0705.3903,0705
0705.3918,0705
0705.4153,0705
0705.4236,0705
0705.4299,0705
0705.4439,0705
0705.4535,0705
0705.4536,0705
0705.2874,0705
0705.2807,0705
0705.2734,0705
0705.2636,0705
0705.0976,0705
0705.0984,0705
0705.1027,0705
0705.1086,0705
0705.1386,0705
0705.1461,0705
0705.1519,0705
0705.0606,0705
0705.1562,0705
0705.1912,0705
0705.2109,0705
0705.2189,0705
0705.2263,0705
0705.2323,0705
0705.2404,0705
0705.2620,0705
0705.1894,0705
0705.0867,0705
0705.0715,0705
0705.2179,0705
0705.4524,0705
0705.4483,0705
0705.4015,0705
0705.3772,0705
0705.0938,0705
0705.0998,0705
0705.1082,0705
0705.1184,0705
0705.1220,0705
0705.1287,0705
0705.1300,0705
0705.1806,0705
0705.1812,0705
0705.1835,0705
0705.3651,0705
0705.2284,0705
0705.2422,0705
0705.2439,0705
0705.2451,0705
0705.2480,0705
0705.2689,0705
0705.2888,0705
0705.3065,0705
0705.4608,0705
0705.3076,0705
0705.3457,0705
0705.0042,0705
0705.0167,0705
0706.1720,0706
0706.2642,0706
0706.2707,0706
0706.2711,0706
0706.2714,0706
0706.2778,0706
0706.2817,0706
0706.2899,0706
0706.2901,0706
0706.2908,0706
0706.2910,0706
0706.2918,0706
0706.2920,0706
0706.2996,0706
0706.3031,0706
0706.3121,0706
0706.3249,0706
0706.2431,0706
0706.1738,0706
0706.2272,0706
0706.2107,0706
0706.1704,0706
0706.1701,0706
0706.1539,0706
0706.1529,0706
0706.1526,0706
0706.1405,0706
0706.1740,0706
0706.1217,0706
0706.2124,0706
0706.0969,0706
0706.0694,0706
0706.0681,0706
0706.0635,0706
0706.0548,0706
0706.0309,0706
0706.0249,0706
0706.1800,0706
0706.1973,0706
0706.0723,0706
0706.1379,0706
0706.4101,0706
0706.0009,0706
0706.2049,0706
0706.2110,0706
0706.2112,0706
0706.2196,0706
0706.2223,0706
0706.2282,0706
0706.2453,0706
0706.2501,0706
0706.2782,0706
0706.1920,0706
0706.2854,0706
0706.3313,0706
0706.3362,0706
0706.3459,0706
0706.3535,0706
0706.3545,0706
0706.3738,0706
0706.3856,0706
0706.4104,0706
0706.4233,0706
0706.3137,0706
0706.1918,0706
0706.1677,0706
0706.1665,0706
0706.0083,0706
0706.4100,0706
0706.0431,0706
0706.0460,0706
0706.0496,0706
0706.0497,0706
0706.0570,0706
0706.0578,0706
0706.0702,0706
0706.0722,0706
0706.0748,0706
0706.0786,0706
0706.0801,0706
0706.1009,0706
0706.1068,0706
0706.1092,0706
0706.1103,0706
0706.1326,0706
0706.1530,0706
0706.1567,0706
0706.1642,0706
0706.3251,0706
0706.3253,0706
0706.0223,0706
0706.3273,0706
0706.4420,0706
0706.4417,0706
0706.4178,0706
0706.4112,0706
0706.3263,0706
0706.4102,0706
0706.3657,0706
0706.3539,0706
0706.3486,0706
0706.3405,0706
0706.4099,0706
0707.4567,0707
0707.0315,0707
0707.0227,0707
0707.0226,0707
0707.0224,0707
0707.0133,0707
0707.0134,0707
0707.0465,0707
0707.0084,0707
0707.0004,0707
0707.0213,0707
0707.0155,0707
0707.0664,0707
0707.1052,0707
0707.1069,0707
0707.2760,0707
0707.2741,0707
0707.2591,0707
0707.2576,0707
0707.2563,0707
0707.2522,0707
0707.2306,0707
0707.0251,0707
0707.2297,0707
0707.2173,0707
0707.2117,0707
0707.1848,0707
0707.1836,0707
0707.1825,0707
0707.1577,0707
0707.1177,0707
0707.2259,0707
0707.0678,0707
0707.0970,0707
0707.1117,0707
0707.3241,0707
0707.3244,0707
0707.3473,0707
0707.3607,0707
0707.3615,0707
0707.3725,0707
0707.3888,0707
0707.4007,0707
0707.4104,0707
0707.4267,0707
0707.4281,0707
0707.4399,0707
0707.4460,0707
0707.4527,0707
0707.4565,0707
0707.3185,0707
0707.4628,0707
0707.3179,0707
0707.3046,0707
0707.1281,0707
0707.2781,0707
0707.1309,0707
0707.1311,0707
0707.1322,0707
0707.1381,0707
0707.1411,0707
0707.1415,0707
0707.1496,0707
0707.1786,0707
0707.2119,0707
0707.2248,0707
0707.2421,0707
0707.2707,0707
0707.2839,0707
0707.3129,0707
0707.3010,0707
0707.2079,0707
0707.3373,0707
0707.3394,0707
0707.4085,0707
0707.4159,0707
0707.4175,0707
0707.4256,0707
0707.4269,0707
0707.4328,0707
0707.4436,0707
0707.4499,0707
0707.4633,0707
0707.3174,0707
0708.4409,0708
0708.4406,0708
0708.4404,0708
0708.4400,0708
0708.4213,0708
0708.4389,0708
0708.4387,0708
0708.4354,0708
0708.4234,0708
0708.4392,0708
0708.2114,0708
0708.1675,0708
0708.1923,0708
0708.1919,0708
0708.1727,0708
0708.4191,0708
0708.1528,0708
0708.1109,0708
0708.0899,0708
0708.0747,0708
0708.0705,0708
0708.0531,0708
0708.0443,0708
0708.1992,0708
0708.4190,0708
0708.3661,0708
0708.4007,0708
0708.2282,0708
0708.2295,0708
0708.2304,0708
0708.2312,0708
0708.2327,0708
0708.2341,0708
0708.2347,0708
0708.2478,0708
0708.2506,0708
0708.2643,0708
0708.2853,0708
0708.3107,0708
0708.3111,0708
0708.3134,0708
0708.3223,0708
0708.3224,0708
0708.3228,0708
0708.3307,0708
0708.3515,0708
0708.3539,0708
0708.3581,0708
0708.0381,0708
0708.3689,0708
0708.3847,0708
0708.3872,0708
0708.4070,0708
0708.0042,0708
0708.2130,0708
0708.2195,0708
0708.4217,0708
0708.3654,0708
0708.3441,0708
0708.3355,0708
0708.3286,0708
0708.3110,0708
0708.2956,0708
0708.2776,0708
0708.2574,0708
0708.2572,0708
0708.3623,0708
0708.1582,0708
0708.1707,0708
0708.0202,0708
0708.0704,0708
0708.0809,0708
0708.2212,0708
0708.0907,0708
0708.1174,0708
0708.1273,0708
0708.1357,0708
0708.0880,0708
0709.0104,0709
0709.0291,0709
0709.0717,0709
0709.0800,0709
0709.0910,0709
0709.0988,0709
0709.0999,0709
0709.1261,0709
0709.1291,0709
0709.1341,0709
0709.1477,0709
0709.1565,0709
0709.1665,0709
0709.0011,0709
0709.1176,0709
0709.1433,0709
0709.0878,0709
0709.1717,0709
0709.0048,0709
0709.0283,0709
0709.0290,0709
0709.0430,0709
0709.0498,0709
0709.0564,0709
0709.1719,0709
0709.0971,0709
0709.0987,0709
0709.1047,0709
0709.1204,0709
0709.1269,0709
0709.1396,0709
0709.1635,0709
0709.1679,0709
0709.1787,0709
0709.3235,0709
0709.3259,0709
0709.2551,0709
0709.4518,0709
0709.1935,0709
0709.2088,0709
0709.2156,0709
0709.2189,0709
0709.2217,0709
0709.2529,0709
0709.2555,0709
0709.2793,0709
0709.2933,0709
0709.2973,0709
0709.3021,0709
0709.3044,0709
0709.3126,0709
0709.3138,0709
0709.3140,0709
0709.3144,0709
0709.4509,0709
0709.4421,0709
0709.4387,0709
0709.4241,0709
0709.4070,0709
0709.3549,0709
0709.3375,0709
0709.3265,0709
0709.4485,0709
0709.4483,0709
0709.4432,0709
0709.4411,0709
0709.2593,0709
0709.2638,0709
0709.2646,0709
0709.2794,0709
0709.2916,0709
0709.2930,0709
0709.2947,0709
0709.3079,0709
0709.3306,0709
0709.3316,0709
0709.3354,0709
0709.3547,0709
0709.1890,0709
0709.3570,0709
0709.3651,0709
0709.3705,0709
0709.3785,0709
0709.3810,0709
0709.3914,0709
0709.3953,0709
0709.3962,0709
0709.3998,0709
0709.4087,0709
0709.4145,0709
0709.4263,0709
0709.4291,0709
0709.3571,0709
0709.1758,0709
0710.4152,0710
0710.0050,0710
0710.3726,0710
0710.3810,0710
0710.3960,0710
0710.4109,0710
0710.4266,0710
0710.4346,0710
0710.4383,0710
0710.4424,0710
0710.4477,0710
0710.4500,0710
0710.4606,0710
0710.4668,0710
0710.3632,0710
0710.5133,0710
0710.5415,0710
0710.5571,0710
0710.5611,0710
0710.5661,0710
0710.5669,0710
0710.5711,0710
0710.0044,0710
0710.5845,0710
0710.5793,0710
0710.5654,0710
0710.5457,0710
0710.5344,0710
0710.5168,0710
0710.3188,0710
0710.3032,0710
0710.2995,0710
0710.0027,0710
0710.0046,0710
0710.0125,0710
0710.0409,0710
0710.0447,0710
0710.0464,0710
0710.0848,0710
0710.0911,0710
0710.0938,0710
0710.0960,0710
0710.1132,0710
0710.1172,0710
0710.1220,0710
0710.1234,0710
0710.1248,0710
0710.1366,0710
0710.1370,0710
0710.1459,0710
0710.1797,0710
0710.1816,0710
0710.2066,0710
0710.2106,0710
0710.2109,0710
0710.2279,0710
0710.2305,0710
0710.2411,0710
0710.2932,0710
0710.5252,0710
0710.5215,0710
0710.5885,0710
0710.5014,0710
0710.2860,0710
0710.2884,0710
0710.2885,0710
0710.3003,0710
0710.3036,0710
0710.3044,0710
0710.3116,0710
0710.3127,0710
0710.3182,0710
0710.3244,0710
0710.3523,0710
0710.3574,0710
0710.2720,0710
0710.3718,0710
0710.3744,0710
0710.3765,0710
0710.3846,0710
0710.3857,0710
0710.3877,0710
0710.3965,0710
0710.4031,0710
0710.4041,0710
0710.4053,0710
0710.4155,0710
0710.4453,0710
0710.5044,0710
0710.3739,0710
0710.2663,0710
0710.2665,0710
0710.2454,0710
0710.4965,0710
0710.4951,0710
0710.4862,0710
0710.4792,0710
0710.4605,0710
0710.0173,0710
0710.0177,0710
0710.0268,0710
0710.0349,0710
0710.0433,0710
0710.0493,0710
0710.0574,0710
0710.4495,0710
0710.0889,0710
0710.0652,0710
0710.1103,0710
0710.2352,0710
0710.2347,0710
0710.2304,0710
0710.1041,0710
0710.2081,0710
0710.2162,0710
0710.1870,0710
0710.1551,0710
0710.1323,0710
0710.1222,0710
0710.1183,0710
0710.1981,0710
0711.4836,0711
0711.4788,0711
0711.4597,0711
0711.4459,0711
0711.4160,0711
0711.4382,0711
0711.1713,0711
0711.1698,0711
0711.1561,0711
0711.1517,0711
0711.1443,0711
0711.1391,0711
0711.1373,0711
0711.1348,0711
0711.1343,0711
0711.1262,0711
0711.1189,0711
0711.1140,0711
0711.0944,0711
0711.0915,0711
0711.0783,0711
0711.0763,0711
0711.0735,0711
0711.0565,0711
0711.0503,0711
0711.0486,0711
0711.0312,0711
0711.0185,0711
0711.0103,0711
0711.0081,0711
0711.0068,0711
0711.1800,0711
0711.4407,0711
0711.1845,0711
0711.1893,0711
0711.4325,0711
0711.4074,0711
0711.3877,0711
0711.3875,0711
0711.3808,0711
0711.3778,0711
0711.3496,0711
0711.3490,0711
0711.3386,0711
0711.3368,0711
0711.3353,0711
0711.3201,0711
0711.3191,0711
0711.3159,0711
0711.3050,0711
0711.3049,0711
0711.2938,0711
0711.2769,0711
0711.2749,0711
0711.2714,0711
0711.2696,0711
0711.2675,0711
0711.2623,0711
0711.2374,0711
0711.1962,0711
0711.1847,0711
0711.1610,0711
0711.3468,0711
0711.4343,0711
0711.1035,0711
0711.0909,0711
0711.0908,0711
0711.0906,0711
0711.0902,0711
0711.0900,0711
0711.0899,0711
0711.0898,0711
0711.0897,0711
0711.0582,0711
0711.1157,0711
0711.0527,0711
0711.4394,0711
0711.4412,0711
0711.4426,0711
0711.4427,0711
0711.4670,0711
0711.4829,0711
0711.4841,0711
0711.4999,0711
0711.5004,0711
0711.4345,0711
0711.4151,0711
0711.1185,0711
0711.0905,0711
0711.1417,0711
0711.3871,0711
0711.3827,0711
0711.3677,0711
0711.3508,0711
0711.3493,0711
0711.3488,0711
0711.3485,0711
0711.3388,0711
0711.1400,0711
0711.3057,0711
0711.2871,0711
0711.2849,0711
0711.3387,0711
0711.1819,0711
0711.1695,0711
0711.2846,0711
0711.2838,0711
0711.2684,0711
0711.2571,0711
0711.2397,0711
0711.2360,0711
0711.2223,0711
0711.2150,0711
0711.2847,0711
0712.0425,0712
0712.0663,0712
0712.0822,0712
0712.0920,0712
0712.0362,0712
0712.0233,0712
0712.4185,0712
0712.0111,0712
0712.0031,0712
0712.0027,0712
0712.0933,0712
0712.4399,0712
0712.4337,0712
0712.0192,0712
0712.1301,0712
0712.3895,0712
0712.1621,0712
0712.4151,0712
0712.4032,0712
0712.4006,0712
0712.3996,0712
0712.3956,0712
0712.3946,0712
0712.4131,0712
0712.3649,0712
0712.3509,0712
0712.3382,0712
0712.3213,0712
0712.1465,0712
0712.3112,0712
0712.2804,0712
0712.2688,0712
0712.2618,0712
0712.2424,0712
0712.2309,0712
0712.2129,0712
0712.1884,0712
0712.1755,0712
0712.1753,0712
0712.1631,0712
0712.1622,0712
0712.2908,0712
0712.4118,0712
0712.2448,0712
0712.3954,0712
0712.1639,0712
0712.1627,0712
0712.1611,0712
0712.1560,0712
0712.1381,0712
0712.1375,0712
0712.1269,0712
0712.1249,0712
0712.1079,0712
0712.1074,0712
0712.1047,0712
0712.1709,0712
0712.0953,0712
0712.0593,0712
0712.0556,0712
0712.0444,0712
0712.0408,0712
0712.0363,0712
0712.0270,0712
0712.0220,0712
0712.0146,0712
0712.0142,0712
0712.0120,0712
0712.0102,0712
0712.0631,0712
0712.4009,0712
0712.1762,0712
0712.1869,0712
0712.3951,0712
0712.3909,0712
0712.3902,0712
0712.3688,0712
